doc_id,source_file,candidates_seen,demoted_count,table_caption_before,table_caption_after,figure_caption_before,figure_caption_after,skipped_eval_only_noise,skipped_uncertain,skipped_manual_pdf_check,skipped_rule_guard
doc_0453,doc_0453.pdf,0,0,1,1,4,4,0,0,0,0
doc_0454,doc_0454.pdf,0,0,6,6,7,7,0,0,0,0
doc_0455,doc_0455.pdf,0,0,1,1,3,3,0,0,0,0
doc_0456,doc_0456.pdf,0,0,0,0,5,5,0,0,0,0
doc_0457,doc_0457.pdf,2,0,0,0,2,2,2,0,0,0
doc_0458,doc_0458.pdf,0,0,3,3,4,4,0,0,0,0
doc_0459,doc_0459.pdf,0,0,0,0,3,3,0,0,0,0
doc_0460,doc_0460.pdf,0,0,3,3,9,9,0,0,0,0
doc_0461,doc_0461.pdf,0,0,0,0,5,5,0,0,0,0
doc_0463,doc_0463.pdf,1,0,1,1,8,8,1,0,0,0
doc_0464,doc_0464.pdf,0,0,0,0,1,1,0,0,0,0
doc_0465,doc_0465.pdf,0,0,3,3,1,1,0,0,0,0
doc_0466,doc_0466.pdf,0,0,1,1,1,1,0,0,0,0
doc_0467,doc_0467.pdf,0,0,4,4,1,1,0,0,0,0
doc_0468,doc_0468.pdf,1,0,5,5,7,7,1,0,0,0
doc_0469,doc_0469.pdf,0,0,2,2,5,5,0,0,0,0
doc_0470,doc_0470.pdf,0,0,0,0,7,7,0,0,0,0
