doc_id,block_id,caption_text,protect_reason,found_block_type_after,found_text_after,preserved,source
doc_0190,p2_b0023,Figure 1. Differences between Pichia pastoris and Saccharomyces cerevisiae.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Differences between Pichia pastoris and Saccharomyces cerevisiae.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p2_b0027,Figure 1. Differences between Pichia pastoris and Saccharomyces cerevisiae.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Differences between Pichia pastoris and Saccharomyces cerevisiae.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p2_b0030,Figure 2. Colony morphology (A) and microscopic image (B) of P. pastoris.,short_caption_with_semantic_anchor,figure_caption,Figure 2. Colony morphology (A) and microscopic image (B) of P. pastoris.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p2_b0032,Figure 2. Colony morphology (A) and microscopic image (B) of P.,short_caption_with_semantic_anchor,figure_caption,Figure 2. Colony morphology (A) and microscopic image (B) of P.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p4_b0048,Figure 3. (A) The structure of PAOX1. (B) Transcriptional regulation of PAOX1.,short_caption_with_semantic_anchor,figure_caption,Figure 3. (A) The structure of PAOX1. (B) Transcriptional regulation of PAOX1.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p5_b0055,"Table 1. Among these, the promoter PADH2 is naturally present in P.",short_caption_with_semantic_anchor,table_caption,"Table 1. Among these, the promoter PADH2 is naturally present in P.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p5_b0057,Table 1. Promoters used in P. pastoris.,short_caption_with_semantic_anchor,table_caption,Table 1. Promoters used in P. pastoris.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p9_b0106,Figure 4. The portfolio of typical compounds produced by engineered P. pastoris.,short_caption_with_semantic_anchor,figure_caption,Figure 4. The portfolio of typical compounds produced by engineered P. pastoris.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p9_b0107,Figure 4. The portfolio of typical compounds produced by engineered P. pastoris.,short_caption_with_semantic_anchor,figure_caption,Figure 4. The portfolio of typical compounds produced by engineered P. pastoris.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0190,p9_b0108,Table 2. Synthesis of various compounds in P. pastoris.,short_caption_with_semantic_anchor,table_caption,Table 2. Synthesis of various compounds in P. pastoris.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
